paper_id,title,has_demand,demand_count,has_compliance,compliance_count,decision,acceptance
2Sn0ty7zoI,Learning through Conditioning on Natural Language Feedback,False,0,False,0,,
N0MnPLK6r7,Toward Human-Interpretable Explanations in a Unified Framework for GNNs,False,0,False,0,Reject,False
w7P92BEsb2,PIED: Physics-Informed Experimental Design for Inverse Problems,False,0,False,0,Accept (Poster),True
wE5xp3zBaQ,"The Good, the Bad and the Ugly: Watermarks, Transferable Attacks and Adversarial Defenses",False,0,False,0,Reject,False
pcnq7fZs4t,Common Feature Learning for Zero-shot Image Recognition,False,0,False,0,Reject,False
3g2iyFU8gA,Learning Fused State Representations for Control from Multi-View Observations,False,0,True,2,,
p7vItQ3OfD,Exposing Privacy Gaps: Membership Inference Attack on Preference Data for LLM Alignment,False,0,False,0,,
WxLwXyBJLw,Flow Matching for One-Step Sampling,False,0,False,0,Reject,False
FDimWzmcWn,AgentRefine: Enhancing Agent Generalization through Refinement Tuning,False,0,False,0,Accept (Poster),True
o3V7OuPxu4,"StarCraft II Arena: Evaluating LLMs in Strategic Planning, Real-Time Decision Making, and Adaptability",False,0,False,0,Reject,False
4XHyThqt1C,Alternating Optimized Stochastic Vector Quantization in Neural Compression,False,0,False,0,,
yRd4loGAhJ,SEAL: Scaling to Emphasize Attention for Long-Context Retrieval,False,0,False,0,Reject,False
6ifeGfWxtX,Slashed Normal: Parameterize Normal Posterior Distributions with KL Amplitude,True,1,False,0,,
STpxO1Siaq,Defend against Jailbreak Attacks via Debate with Partially Perceptive Agents,False,0,False,0,,
uOnElfFuey,Recovering Knowledge by Hardening Language Models,False,0,False,0,,
Yd5MHVIKLk,MuLan: Multimodal-LLM Agent for Progressive and Interactive Multi-Object Diffusion,False,0,False,0,Reject,False
Sd4wYYOhmY,TabM: Advancing tabular deep learning with parameter-efficient ensembling,False,0,True,1,Accept (Poster),True
zrdkQaf48Z,Leveraging Implicit Sentiments: Enhancing Reliability and Validity in Psychological Trait Evaluation of LLMs,False,0,True,1,Reject,False
n7RqgqbxP7,CASAK-V: Dynamic Sparse Attention and Adaptive KV-Cache Compression for Memory-Efficient Long-Context LLM Inference,False,0,False,0,,
y15LAM4u0A,EmbodiedCity: A Benchmark Platform for Embodied Agent in Real-world City Environment,False,0,False,0,Reject,False
75PhjtbBdr,Multi-Label Test-Time Adaptation with Bound Entropy Minimization,False,0,False,0,Accept (Poster),True
UlAkM88Vum,Action-Constrained Imitation Learning,True,1,False,0,Reject,False
EdKSI2ijUY,LMRL Gym: Benchmarks for Multi-Turn Reinforcement Learning with Language Models,False,0,False,0,Reject,False
XLMAMmowdY,ToolGen: Unified Tool Retrieval and Calling via Generation,False,0,False,0,Accept (Poster),True
wLR9d5ZFpY,"No Training Data, No Cry: Model Editing  without Training Data or Fine-tuning",False,0,False,0,Reject,False
J5s6EG6ual,Investigating Self-Attention: Its Impact on Sample Efficiency in Deep Reinforcement Learning,False,0,False,0,,
GamwMdPj0y,C-Adam: Confidence-Based Optimization for Online Learning,False,0,True,1,,
kn3GT7LbxT,Value Residual Learning For Alleviating  Attention Concentration In Transformers,False,0,False,0,Reject,False
CCUrU4A92S,Re-examining learning linear functions in context,False,0,False,0,,
irCuIdCdAl,Improving Transformer Interpretability with Activation Contrast-Based Attribution,False,0,False,0,Reject,False
5KgKa96PUG,Exploring New Frontiers in Vertical Federated Learning: the Role of Saddle Point Reformulation,True,1,False,0,,
Rp3DjldbSc,ICConv: A Large-Scale Intent-Oriented and Context-Aware Conversational Search Dataset,False,0,False,0,Reject,False
TySMCLoGVl,Efficiently Scanning and Resampling Spatio-Temporal Tasks with Irregular Observations,False,0,True,3,Reject,False
VNMJfBBUd5,Activation Gradient based Poisoned Sample Detection Against Backdoor Attacks,False,0,False,0,Accept (Poster),True
yRKelogz5i,Causally Motivated Sycophancy Mitigation for Large Language Models,False,0,False,0,Accept (Poster),True
GsCMKwyfWm,LVLM-COUNT: Enhancing the Counting Ability of Large Vision-Language Models,False,0,False,0,Reject,False
qotIZREPZf,CGD: Modifying the Loss Landscape by Gradient Regularization,False,0,False,0,,
BlzBcWYmdB,Cross-modal Mitigation of Spurious Correlation for Prompt-tuning in VLMs with Causally Motivated Logic Alignment,False,0,False,0,Reject,False
ayT4e9C3Gd,ROSARL: Reward-Only Safe Reinforcement Learning,False,0,True,2,Reject,False
H9dNX6TaRE,Mitigating Reward Over-optimization in Direct Alignment Algorithms with Adaptive Importance Sampling,False,0,True,3,Reject,False
ErpRu7qMq1,GETMusic: Generating Music Tracks with a Unified Representation and Diffusion Framework,False,0,False,0,,
9e5syenoVE,Multiple-play Stochastic Bandits with Prioritized Resource Sharing,True,1,False,0,Reject,False
p5FWeNp5PC,Hessian-Informed Flow Matching,False,0,False,0,,
NNBAzdF7Cg,Binary Spiking Neural Networks as causal models,False,0,False,0,Reject,False
uClUUJk05H,Compositional simulation-based inference for time series,False,0,False,0,Accept (Poster),True
0bcUyy2vdY,Multi-play Multi-armed Bandit Model with Scarce Sharable Arm Capacities,False,0,False,0,Reject,False
itwyfJilM5,Graph Scattering Networks with Adaptive Diffusion Kernels,False,0,True,2,Reject,False
VHpCu0jCr6,Identity Lock: Locking API Fine-tuned LLMs With Identity-based Wake Words,False,0,False,0,,
skJLOae8ew,From Abstract Noise to Architectural Form: Designing Diffusion Models for Efficient Floor Plan Generation,False,0,False,0,Reject,False
XBQSCeMSMA,Diffusion-based Graph Masked Autoencoders for Out-of-Distribution Generalization,False,0,False,0,,
KA2Rit4ky1,PDETime: Rethinking Long-term Multivariate Time Series Forecasting from the Perspective of Partial Differential Equations,False,0,False,0,Reject,False
ia7XI8qvBv,CELI: CONTROLLER-EMBEDDED LANGUAGE MODEL INTERACTIONS,False,0,False,0,,
ZGRZ5GPKWX,"DNASpeech: A Contextualized and Situated Text-to-Speech Dataset with Dialogues, Narratives and Actions",False,0,False,0,,
RDLvnUJ5JZ,TF-score: Time-series Forecasting using score-based diffusion model,False,0,False,0,,
AecVG5CXdp,Novel RL Approach for Efficient Elevator Group Control Systems,False,0,False,0,,
omzijInU1T,Feature Learning in Attention Mechanisms Is More Compact and Stable Than in Convolution,False,0,False,0,,
0Yfjerm9Zp,Enhancing LLM Faithfulness in Rationale Generation via Dual-Reward Probabilistic Inference,False,0,False,0,,
zNVefjN3EP,OpenCarbonEval: How much $CO_2$  will your large model exhale in training process?,True,1,False,0,,
CFKZKjrQ5r,FCoReBench: Can Large Language Models Solve Challenging First-Order Combinatorial Reasoning Problems?,False,0,False,0,Reject,False
O6znYvxC1U,Bayesian Treatment of the Spectrum of the Empirical Kernel in (Sub)Linear-Width Neural Networks,False,0,False,0,Accept (Poster),True
xN6z16agjE,Evaluating word representation for hypernymy relation: with focus on Arabic,False,0,False,0,,
wVTJRnZ11Z,When GNNs meet symmetry in ILPs: an orbit-based feature augmentation approach,False,0,False,0,Accept (Poster),True
CKqiQosLKc,Sampling from Energy-based Policies using Diffusion,False,0,False,0,,
vjbIer5R2H,Improved Risk Bounds with Unbounded Losses for Transductive Learning,False,0,False,0,Reject,False
RlpJmARXqj,Adaptive Self-Supervised Learning Strategies for Dynamic On-Device LLM Personalization,False,0,False,0,Reject,False
v2nEL42Pvb,SSGNN: Simple Yet Effective Spectral Graph Neural Network,False,0,False,0,Reject,False
MWSoYGPexK,Towards Efficient and Scalable Multi-agent Reasoning via Bayesian Nash Equilibrium,False,0,False,0,Reject,False
xPTzjpIQNp,Optimal Transport for Time Series Imputation,False,0,True,1,Accept (Poster),True
iIrvKrtwnZ,HuRi : Humanoid Robots Adaptive Risk-ware Distributional Reinforcement Learning for Robust Control,True,1,True,1,Reject,False
giU5WVNy7K,"From General to Expert: Custom Pruning LLMs Across Language, Domain, and Task",False,0,False,0,,
Uc3kog3O45,Global Context-aware Representation Learning for Spatially Resolved Transcriptomics,False,0,False,0,Reject,False
04RGjODVj3,From Rest to Action: Adaptive Weight Generation for Motor Imagery Classification from Resting-State EEG Using Hypernetworks,False,0,False,0,Reject,False
jO3QEsm15T,Optimal Transport for Reducing Bias in Causal Inference without Data Splitting,False,0,False,0,Reject,False
yyIHdaSDUU,Adaptive Vision Encoders: Balancing Efficiency and Robustness in Vision-Language Models,True,1,False,0,,
3bcN6xlO6f,Video Action Differencing,False,0,True,2,Accept (Poster),True
j0sq9r3HFv,Automated Parameter Extraction for Biologically Realistic Neural Networks: An Initial Exploration with Large Language Models,False,0,False,0,Reject,False
Y9yQ9qmVrc,scKGOT: Intercellular Signaling Inference with Knowledge Graph Optimal Transport for Single-cell Transcriptomics,False,0,False,0,Reject,False
Mi45HjlVRj,Injecting Learnable Table Features into LLMs,False,0,False,0,Reject,False
WwmtcGr4lP,GANDALF: Generative AttentioN based Data Augmentation and predictive modeLing Framework for personalized cancer treatment,False,0,False,0,Accept (Poster),True
u1EPPYkbgA,GPTBIAS: A Comprehensive Framework for Evaluating Bias in Large Language Models,False,0,False,0,,
GdXI5zCoAt,RaSA: Rank-Sharing Low-Rank Adaptation,False,0,False,0,Accept (Poster),True
SKl8zzi4Mn,Optimization Insights into Deep Diagonal Linear Networks,False,0,False,0,,
NcKUcd4EkA,Harnessing Query Heterogeneity for Cost-Effective Proactive Caching in LLM Inference,False,0,False,0,Reject,False
DbZDbg2z9q,Ontology-Retrieval Augmented Generation for Scientific Discovery,False,0,True,1,Reject,False
jgVqCCg5XX,Revisiting the Scaling Effects of LLMs on Medical Reasoning Capabilities,True,1,False,0,Reject,False
bJ33TvbJW0,SinkQ: Accurate 2-bit KV Cache Quantization with Dynamic Sink Tracking,False,0,False,0,,
3tukjsVyrE,Scaling Speech-Text Pre-training with Synthetic Interleaved Data,True,1,False,0,Accept (Poster),True
vSrBzCzg4G,Efficient Training of Sparse Autoencoders for Large Language Models via Layer Clustering,True,1,False,0,,
sb1HgVDLjN,Offline Model-Based Optimization by Learning to Rank,False,0,False,0,Accept (Poster),True
v27yHgKtMv,Calibration of ordinal regression networks,True,1,False,0,,
m5rOrTiuKG,ExploraCoder: Advancing code generation for multiple unseen APIs via planning and chained exploration,False,0,False,0,,
e2p1BWR3vq,A$^2$-Flow: Alignment-Aware Pre-training for Speech Synthesis with Flow Matching,False,0,True,2,Reject,False
NtwFghsJne,From Search to Sampling: Generative Models for Robust Algorithmic Recourse,False,0,False,0,Accept (Poster),True
gyTkfVYL45,ICAM: Rethinking Instance-Conditioned Adaptation in Neural Vehicle Routing Solver,False,0,False,0,Reject,False
XwibrZ9MHG,PokeFlex: A Real-World Dataset of Deformable Objects for Robotics,False,0,False,0,Reject,False
5f0n5yi8qK,Training Open-ended Policies to follow Video-prompt Instructions with Reinforcement Learning,True,1,False,0,,
KRqMfdwQaP,SEAL-Pose: Enhancing Pose Estimation through Trainable Loss Function,False,0,True,1,Reject,False
kbeX97jExm,Neural Wave Equation for Irregularly Sampled Sequence Data,False,0,True,1,Accept (Poster),True
izETL3emSv,BBOPlace-Bench: Benchmarking Black-Box Optimization for Chip Placement,False,0,False,0,,
5o9JJJPPm6,ComaDICE: Offline Cooperative Multi-Agent Reinforcement Learning with Stationary Distribution Shift Regularization,True,1,True,1,Accept (Poster),True
Bdhro9gxuF,The Advancement in Stochastic Zeroth-Order Optimization: Mechanism of Accelerated Convergence of Gaussian Direction on Objectives with Skewed Hessian Eigenvalues,False,0,False,0,Reject,False
TdIx7u2ECv,Imagine to Ensure Safety in Hierarchical Reinforcement Learning,False,0,True,1,Reject,False
Nfd7z9d6Bb,Probabilistic Conformal Prediction with Approximate Conditional Validity,False,0,False,0,Accept (Poster),True
7jDv1RrNQX,Path Selection Makes BERT-family Good Generators,False,0,False,0,Reject,False
6w9qffvXkq,Improving CNN training by Riemannian optimization on the generalized Stiefel manifold combined with a gradient-based manifold search,False,0,False,0,Reject,False
GF1sRSBiwY,Physics-Informed Neural Networks with Message-Passing Weights,True,1,False,0,,
bzB7OIbITu,Prompt-Independent Safe Decoding to Restrain Unsafe Image Generation for Text-to-Image Models against White-Box Adversary,False,0,False,0,Reject,False
GM7cmQfk2F,Rethinking Neural Multi-Objective Combinatorial Optimization via Neat Weight Embedding,False,0,False,0,Accept (Poster),True
09LEjbLcZW,AutoKaggle: A Multi-Agent Framework for Autonomous Data Science Competitions,False,0,True,1,Reject,False
lcmd2Qdrsv,Mixture-of-Diffusers: Dual-Stage Diffusion Model for Improved Time Series Generation,False,0,True,3,,
8sglLco8Ti,ChunkKV: Semantic-Preserving KV Cache Compression for Efficient Long-Context LLM Inference,False,0,False,0,Reject,False
yGv5GzlBwr,Diffusion Auto-regressive Transformer for Effective Self-supervised Time Series Forecasting,False,0,False,0,Reject,False
leSbzBtofH,AutoAdvExBench: Benchmarking Autonomous Exploitation of Adversarial Example Defenses,False,0,False,0,Reject,False
l11DZY5Nxu,Robust Root Cause Diagnosis using In-Distribution Interventions,True,1,True,1,Accept (Poster),True
VEdeDd13gx,ManiBox: Enhancing Spatial Grasping Generalization via Scalable Simulation Data Generation,False,0,True,1,Reject,False
rxUz2DaulF,Q* Agent: Optimizing Language Agents with Q-Guided Exploration,False,0,True,1,Reject,False
BBldjKEBlJ,QuantFormer: Learning to quantize for neural activity forecasting in mouse visual cortex,True,1,False,0,,
dQpZolwXiH,Intrinsic Explainability of Multimodal Learning for Crop Yield Prediction,False,0,False,0,,
TbTJJNjumY,Boosting Neural Combinatorial Optimization for Large-Scale Vehicle Routing Problems,True,1,False,0,Accept (Poster),True
xcHIiZr3DT,Vision-Based Pseudo-Tactile Information Extraction and Localization for Dexterous Grasping,False,0,False,0,Reject,False
srOVvTzgPo,Toward a Sheaf-Theoretic Understanding of Compositionality in Large Language Models,False,0,False,0,Reject,False
h0vC0fm1q7,Sensitivity Verification for Additive Decision Tree Ensembles,False,0,False,0,Accept (Poster),True
r1KcapkzCt,Monte Carlo Planning with Large Language Model for Text-Based Game Agents,False,0,False,0,Accept (Poster),True
tlH4vDii0E,Fine-Tuning Pre-trained Language Models for Robust Causal Representation Learning,False,0,False,0,Reject,False
mMXCMoU95Y,CAuSE: Post-hoc Natural Language Explanation of Multimodal Classifiers through Causal Abstraction,False,0,False,0,Reject,False
GpUO6qYNQG,SpeechFake: A Large-Scale Multilingual Speech Deepfake Dataset Toward Cutting-Edge Speech Generation Methods,False,0,False,0,Reject,False
QIApiYYgLG,Discovering Clues of Spoofed LM Watermarks,False,0,False,0,Reject,False
gTwD366p5I,VisualCoder: Guiding Vision Language Models in Code Execution with Fine-grained Chain-of-Thought Reasoning,False,0,False,0,,
NPDnRLFhc0,EvidenceBench: A Benchmark for Extracting Evidence from Biomedical Papers,False,0,False,0,Reject,False
Za3M6OZuCU,Actions Speak Louder Than Words: Rate-Reward Trade-off in Markov Decision Processes,False,0,False,0,Accept (Poster),True
L6gyOOJYt2,Sampling Process Brings Additional Bias for Debiased Recommendation,True,1,False,0,Reject,False
DYXl6P70aH,Benchmarking Robustness of Foundation Models for Remote Sensing,False,0,False,0,,
IANtNtNpYd,Enhancing Trust-Region Bayesian Optimization via Derivatives of Gaussian Processes,False,0,False,0,,
ghk8lnOYRq,Solving the 2-norm k-hyperplane clustering problem via multi-norm formulations,False,0,False,0,Reject,False
rAoEub6Nw2,A Statistical Framework for Ranking LLM-based Chatbots,False,0,False,0,Accept (Poster),True
QEHrmQPBdd,RM-Bench: Benchmarking Reward Models of Language Models with Subtlety and Style,False,0,False,0,Accept (Oral),True
sEv6vHIUnu,Structured Predictive Representations in Reinforcement Learning,True,1,False,0,Reject,False
nNiWRRj6r9,ONLINE EPSILON NET & PIERCING SET FOR GEOMETRIC CONCEPTS,False,0,False,0,Accept (Poster),True
XBF63bHDZw,SimulPL: Aligning Human Preferences in Simultaneous Machine Translation,False,0,False,0,Accept (Poster),True
R2834dhBlo,Neural Interactive Proofs,False,0,True,1,Accept (Poster),True
dML3XGvWmy,Gödel Agent: A Self-Referential Framework Helps for Recursively Self-Improvement,False,0,False,0,Reject,False
1S8ndwxMts,Towards Robust Evaluation of Protein Generative Models: A Systematic Analysis of Metrics,True,1,False,0,Reject,False
ZS7UEI3vG5,Oracle efficient truncated statistics,False,0,False,0,Accept (Poster),True
IULlNTZZel,RedHat: Towards Reducing Hallucination in Essay Critiques with Large Language Models,True,1,True,1,Reject,False
gx1wHnf5Vp,Drop-Upcycling: Training Sparse Mixture of Experts with Partial Re-initialization,True,1,True,2,Accept (Poster),True
BPyNGmM3jy,DiRaGNN: Attention-Enhanced Entity Ranking for Sparse Graph Networks,True,1,False,0,,
PflweLMInP,Complete multi-modal metric learning for multi-modal sarcasm detection,False,0,False,0,Reject,False
LsTIW9VAF7,Less is More: Stealthy and Adaptive Clean-Image Backdoor Attacks with Few Poisoned,True,1,True,2,Reject,False
Kh5OS3oNlg,PARSE-Ego4D: Personal Action Recommendation Suggestions for Ego-Centric Videos,False,0,False,0,Reject,False
E4LAVLXAHW,Black-Box Detection of Language Model Watermarks,True,1,False,0,Accept (Poster),True
5VK1UulEbE,FredNormer: Frequency Domain Normalization for Non-stationary Time Series Forecasting,False,0,False,0,,
tpHqsyZ3YX,ProAdvPrompter: A Two-Stage Journey to Effective Adversarial Prompting for LLMs,False,0,False,0,Accept (Poster),True
LOAfGVdL2G,Commute Your Domains: Trajectory Optimality Criterion for Multi-Domain Learning,False,0,False,0,Reject,False
PHkUNcno9n,BALSA: Benchmarking Active Learning Strategies for Autonomous laboratories,False,0,False,0,,
glgvpS1dD1,Robust Heterogeneous Treatment Effect Estimation under Covariate Perturbation,False,0,False,0,Reject,False
ArJikvI6xo,GFLAgent: Green Federated Learning Agent for Alleviating Heterogeneity,False,0,False,0,Reject,False
kVrwHLAb20,Ward: Provable RAG Dataset Inference via LLM Watermarks,False,0,False,0,Accept (Poster),True
NH47cNdgNz,From Imitation to Introspection: Probing Self-Consciousness in Language Models,False,0,False,0,Reject,False
sjGmiI49sd,Multimodal LLM-guided Query Optimization for Visual-Language Retrieval,True,1,False,0,,
LoXJlAW3gU,Diffusion on language model encodings for protein sequence generation,True,1,False,0,Reject,False
oW3XIIHaOn,ToG-I: Progressively Instructed Knowledge Graph-based Large Language Model Reasoning,False,0,False,0,,
h2Q3gOIz8q,Black-Box Adversarial Attacks on LLM-Based Code Completion,True,1,False,0,Reject,False
n6YVISFrcN,Rethinking MUSHRA: Addressing Modern Challenges in Text-to-Speech Evaluation,False,0,False,0,,
4fyg68nmd7,Scaling Laws for Task-Optimized Models of the Primate Visual Ventral Stream,False,0,True,2,Reject,False
fvyuKLTC3s,Cayley Maze: Universal Open-Ended Reinforcement Learning Environment,False,0,False,0,Reject,False
dTkqaCKLPp,SCOPE: A Self-supervised Framework for Improving Faithfulness in Conditional Text Generation,False,0,True,1,Accept (Poster),True
TLgDQ0Rr2Z,Principle Counterfactual Fairness,False,0,False,0,Reject,False
DFSb67ksVr,Clique Number Estimation via Differentiable Functions of Adjacency Matrix Permutations,False,0,False,0,Accept (Poster),True
jkVQ31GeIA,Auto-RAG: Autonomous Retrieval-Augmented Generation for Large Language Models,False,0,True,1,Reject,False
5V8d2dVF1F,Assessing Vulnerabilities of Large Language Models to Social Bias Attacks,False,0,False,0,,
qcyn7ESaM8,Bridging PCA and Neural Networks: New Insights into Class Bias,False,0,False,0,,
zHeHIIFQVF,Train once and generalize: Zero-shot quantum state preparation with RL,False,0,False,0,Reject,False
IiAckbuccF,Nonmyopic Bayesian Optimization in Dynamic Cost Settings,False,0,False,0,Reject,False
DnfPX10Etk,JOOCI: A FRAMEWORK FOR LEARNING COMPREHENSIVE SPEECH REPRESENTATIONS,False,0,False,0,Reject,False
cvKpmgZUJj,\title{The Logical Reasoning Dilemma of LLMs: A Mapping Deficit in Representation},False,0,False,0,,
QSTv4os59f,Learning-Augmented Streaming Algorithms for Correlation Clustering,False,0,False,0,Reject,False
UE3okxYTUR,MMAR: Towards Lossless Multi-Modal Auto-Regressive Prababilistic Modeling,False,0,False,0,,
TXfzH933qV,Reliable and Diverse Evaluation of LLM Medical Knowledge Mastery,False,0,False,0,Accept (Poster),True
5YRw1m6GSz,Personalized Federated Learning via Tailored Lorentz Space,False,0,False,0,Reject,False
nVbbB3Jmyo,Degree-aware Spiking Graph Domain Adaptation for Classification,True,1,False,0,Reject,False
UFBabPTgr2,SynthFormer: Equivariant Pharmacophore-based Generation of Molecules for Ligand-Based Drug Design,True,1,False,0,Reject,False
2z340YQdvJ,Revisiting the Relation Between Robustness and Universality,False,0,False,0,,
YOrN9vNrqo,SparsePO: Controlling Preference Alignment of LLMs via Sparse Token Masks,False,0,True,2,Reject,False
nphsoKxlFs,Dynamic Contrastive Learning for Time Series Representation,True,1,False,0,Reject,False
KJ4hQAfqVa,Meta-Learning for Dynamic Synaptic Plasticity in Spiking Neural Networks,False,0,False,0,Reject,False
TkbjqexD8w,Invariant Spatiotemporal Representation Learning for Cross-patient Seizure Classification,False,0,False,0,Reject,False
9mOs2Bxd3Q,Extending Stability Analysis to Adaptive Optimization Algorithms Using Loss Surface Geometry,False,0,False,0,Reject,False
Gi3SwL98nL,Leveraging LLM Embeddings for Cross Dataset Label Alignment and Zero Shot Music Emotion Prediction,True,1,False,0,Reject,False
znL549Ymoi,Interpretability of LLM Deception: Universal Motif,False,0,False,0,Reject,False
CvunOaPA1W,Multi-Dimensional Insights: Benchmarking Real-World Personalization in Large Multimodal Models,False,0,False,0,Reject,False
NGKQoaqLpo,How new data permeates LLM knowledge and how to dilute it,False,0,True,1,Accept (Spotlight),True
G7sIFXugTX,SWE-Search: Enhancing Software Agents with Monte Carlo Tree Search and Iterative Refinement,False,0,True,1,Accept (Poster),True
82p8VHRsaK,Language Models are Advanced Anonymizers,False,0,False,0,Accept (Poster),True
oY2jw2NLiM,Coresets for $k$-mean clustering of segments,False,0,False,0,Reject,False
pL8ws91RW2,Hierarchical Self-Supervised Graph Contrastive Learning: Capturing Multi-Scale Structural Information,False,0,False,0,Reject,False
Ouu3HnIVBc,ADAM: An Embodied Causal Agent in Open-World Environments,False,0,False,0,Accept (Poster),True
wFg0shwoRe,Expected Return Symmetries,True,1,False,0,Accept (Poster),True
3LFR5N2uv8,Younger: The First Dataset for Artificial Intelligence-Generated Neural Network Architecture,False,0,False,0,,
ODzT43I5lJ,Differentially Private One Permutation Hashing,False,0,False,0,Reject,False
w1MEIGDepc,FlowAgent: a New Paradigm for Workflow Agent,True,1,False,0,Reject,False
x83w6yGIWb,Beware of Calibration Data for Pruning Large Language Models,False,0,False,0,Accept (Poster),True
DjHnxxlqwl,"Solving Urban Network Security Games: Learning Platform, Benchmark, and Challenge for AI Research",False,0,True,1,Reject,False
plAiJUFNja,Graph-Enhanced Learning for Predicting Optimal Drug Combinations Using Contrastive Embedding,True,1,False,0,Reject,False
Se6MgCtRhz,Herald: A Natural Language Annotated Lean 4 Dataset,False,0,True,1,Accept (Poster),True
63Pq7q7ybl,Toward Domain Translation with Monolingual Domain Data Only,False,0,True,1,Reject,False
gFUomIaycw,Dynamic Routing Mixture of Experts for Enhanced Multi-Label Image Classification,True,1,False,0,Reject,False
BUj9VSCoET,Efficient Residual Learning with Mixture-of-Experts for Universal Dexterous Grasping,False,0,False,0,Accept (Poster),True
5z9GjHgerY,DPLM-2: A Multimodal Diffusion Protein Language Model,True,1,False,0,Accept (Poster),True
kWtP5ZOErR,EvoPress: Towards Optimal Dynamic Model Compression via Evolutionary Search,False,0,False,0,Reject,False
KD9F5Ap878,OptiBench: Benchmarking Large Language Models in Optimization Modeling with Equivalence-Detection Evaluation,True,1,False,0,,
moWiYJuSGF,Web Agents with World Models: Learning and Leveraging Environment Dynamics in Web Navigation,False,0,False,0,Accept (Poster),True
