source_s2id,source_arxiv,source_title,source_community,source_year,target_s2id,target_arxiv,target_title,target_community,target_year
5d7156ce2c39b7aa36c52bac017c64611cf9ef62,2602.14111,Sanity Checks for Sparse Autoencoders: Do SAEs Beat Random Baselines?,sae,2026.0,9d125f45b1d2dea01f05281470bc08e12b6c7cba,2209.10652,Toy Models of Superposition,sae,2022
b75c867d0579cf5e30dbb3e965fe0410d5a63a41,2604.19117,LLMs Know They're Wrong and Agree Anyway: The Shared Sycophancy-Lying Circuit,circuits,2026.0,c90a99eeb57019732a6cc996bb9eaf13faedf00f,2209.11895,In-context Learning and Induction Heads,circuits,2022
2d4b8da9230d184ecaac42c6e6a2dc32a86cfaf6,2604.14925,Improving Sparse Autoencoder with Dynamic Attention,sae,2026.0,0d24c5680efe9769e6d7ea579db0499ec819a8c7,2406.04093,Scaling and evaluating sparse autoencoders,sae,2024
a126eb9e5c77e20314ef5acae3376032daf5c52f,2510.00845,Mechanistic Interpretability as Statistical Estimation: A Variance Analysis of E,circuits,2025.0,970de0cb4a057705182398fba97bc7a790e08115,2510.25786,BlackboxNLP-2025 MIB Shared Task: Improving Circuit Faithfulness via Better Edge,circuits,2025
65502ffc46aa8b1d6ec2507cbdd1f236da2f7267,2510.01288,Microsaccade-Inspired Probing: Positional Encoding Perturbations Reveal LLM Misb,mi_general,2025.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
3c3379699052b9c259bbe4080a6356b3fae3dc4f,2601.03657,In Search of Grandmother Cells: Tracing Interpretable Neurons in Tabular Represe,mi_general,2026.0,890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024
4363fc53551524e4375932804af63bc5b20b19a5,2605.24033,Towards Verifiable Transformers: Solver-Checkable Circuit Explanations,circuits,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
aeeb91b5a9ff414acdf5cd3cef933d5b28b5735b,2604.14477,Seeing Through Circuits: Faithful Mechanistic Interpretability for Vision Transf,circuits,2026.0,6edd112383ad494f5f2eba72b6f4ffae122ce61f,2211.00593,Interpretability in the Wild: a Circuit for Indirect Object Identification in GP,circuits,2022
f4c2ee3d3b6a33c9bdaa9dbef51d067ba8c33610,2408.01416,The Quest for the Right Mediator: Surveying Mechanistic Interpretability for NLP,mi_general,2024.0,b4d81c89c973b6d207dbc0562760200b7d7974ed,2507.08802,The Non-Linear Representation Dilemma: Is Causal Abstraction Enough for Mechanis,causal,2025
845e5fbc9c6c8e0d997ea12930ba42e4a6dd7da3,2512.15938,SALVE: Sparse Autoencoder-Latent Vector Editing for Mechanistic Control of Neura,sae,2025.0,6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023
b0b3ba49b1e9cf2f11757cba5eb074f85f1a9bc0,2506.22105,Identifying a Circuit for Verb Conjugation in GPT-2,circuits,2025.0,6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023
c6f2cf2d10280a4b3a0b4332497cf75bb231b7a2,2605.06494,From Token Lists to Graph Motifs: Weisfeiler-Lehman Analysis of Sparse Autoencod,sae,2026.0,0d24c5680efe9769e6d7ea579db0499ec819a8c7,2406.04093,Scaling and evaluating sparse autoencoders,sae,2024
d3a58153d81087dfc4e61b0fed197270e6b738a7,2606.08365,Pre-Intervention Prediction of Sparse Autoencoder Steering Side Effects,sae,2026.0,996445d847f06e99b0bd259345408a0cf1bce87e,2202.05262,Locating and Editing Factual Associations in GPT,circuits,2022
890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024.0,a0cfd36e6c7abf070f492ae52a35af895a1c5592,,Zoom In: An Introduction to Circuits,circuits,2020
3696b4918f6151846262ee249710cb0e2961156a,2605.25225,Transformer Field Theory: A Response-Theoretic Approach to Mechanistic Interpret,mi_general,2026.0,0d24c5680efe9769e6d7ea579db0499ec819a8c7,2406.04093,Scaling and evaluating sparse autoencoders,sae,2024
f47b3021182b68e6919912fcb08fdbae808ad71f,2603.21236,Posterior-Calibrated Causal Circuits in Variational Autoencoders: Why Image-Doma,circuits,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
be97409a865f72edc4828407496e9d31bbbc4ec7,2503.05613,A Survey on Sparse Autoencoders: Interpreting the Internal Mechanisms of Large L,sae,2025.0,6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023
695933fbd7b9b87acffa263d8aba03057be280c0,2604.08524,What Drives Representation Steering? A Mechanistic Case Study on Steering Refusa,mi_general,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
5e878b65e772e759e6f06d63408f6956b474cdda,,Copy Suppression: Comprehensively Understanding a Motif in Language Model Attent,circuits,2024.0,3f7fa58806614a1f38ae760c25c1305e3a87d4ce,2305.08809,Interpretability at Scale: Identifying Causal Mechanisms in Alpaca,causal,2023
0d24c5680efe9769e6d7ea579db0499ec819a8c7,2406.04093,Scaling and evaluating sparse autoencoders,sae,2024.0,02ad427b0d20fb976741e332f69c2fd00c751164,2405.12241,Identifying Functionally Important Features with End-to-End Sparse Dictionary Le,sae,2024
447b7fa233fe9b129001f0bb7f5c4a900de29e5d,2503.09532,SAEBench: A Comprehensive Benchmark for Sparse Autoencoders in Language Model In,sae,2025.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
e4d1b5f6deccb690be057fba70eeb8752e2d933c,2605.03354,What Happens Inside Agent Memory? Circuit Analysis from Emergence to Diagnosis,circuits,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
fc5440772f254c76924b990a220d6f9fe3e19898,2508.16109,From Indirect Object Identification to Syllogisms: Exploring Binary Mechanisms i,circuits,2025.0,436cd0fe00807bc9d14434f3313dc836530f2dae,2401.12181,Universal Neurons in GPT2 Language Models,circuits,2024
890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024.0,3c6da6f1601aee99b8e5b8dcf2d21c42d9252b04,2406.11944,Transcoders Find Interpretable LLM Feature Circuits,circuits,2024
1ac4a4ed715d7c2ad7dddcde64a7867b4b86eba6,2605.23035,Sparse Autoencoders Map Brain-LLM Alignment onto Cortical Semantic Topography,sae,2026.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
fe83d6cca8427fa2ef2ea185e4288dd5e7f9d652,2505.16002,Causal Interventions Reveal Shared Structure Across English Filler-Gap Construct,mi_general,2025.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
9c868ba2557e97b5dfb4ea3b8e4ecc0a6ece778a,2605.30162,BioRefusalAudit: Auditing Biosecurity Refusal Depth Using General and Domain-Fin,sae,2026.0,890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024
6eed873b88ecd54e69f597c395f31edf3e5b035f,2506.01247,"Beyond Interpretability: When, Why, and How Sparse Autoencoders Enable Label-Fre",sae,2025.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
e2d7fa49c83af78db78c271a0a521e247f4fe4d2,2512.15134,From Isolation to Entanglement: When Do Interpretability Methods Identify and Di,mi_general,2025.0,0d24c5680efe9769e6d7ea579db0499ec819a8c7,2406.04093,Scaling and evaluating sparse autoencoders,sae,2024
bc9df59de5d6f138e4ee4604728e8c2a54c5e37d,2504.20197,Representation Learning on a Random Lattice,mi_general,2025.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
d3a58153d81087dfc4e61b0fed197270e6b738a7,2606.08365,Pre-Intervention Prediction of Sparse Autoencoder Steering Side Effects,sae,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
f47b3021182b68e6919912fcb08fdbae808ad71f,2603.21236,Posterior-Calibrated Causal Circuits in Variational Autoencoders: Why Image-Doma,circuits,2026.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
bdc1e927d7460c0713f919c06fd3ad91fae348d8,2602.24266,Efficient Discovery of Approximate Causal Abstractions via Neural Mechanism Spar,causal,2026.0,6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023
734e654ccd5229916b97ffae7f7c885bad4140f0,2605.18229,Are Sparse Autoencoder Benchmarks Reliable?,sae,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
a7d767585ce3f6a793c451f8e24de9fdcf2b1684,2602.11169,Disentangling Direction and Magnitude in Transformer Representations: A Double D,mi_general,2026.0,c90a99eeb57019732a6cc996bb9eaf13faedf00f,2209.11895,In-context Learning and Induction Heads,circuits,2022
1da7d92436587b3e8a0309319f303b70d3a08cf1,2605.22651,What Does the Caption Really Say? Counterfactual Phrase Intervention for Composi,causal,2026.0,996445d847f06e99b0bd259345408a0cf1bce87e,2202.05262,Locating and Editing Factual Associations in GPT,circuits,2022
2390f86c6cb070e9d4116f670b9064ff8815ff19,2606.09936,"One Lens, Many Worlds : A Capability-Typed Interface for World-Model Interpretab",mi_general,2026.0,0d24c5680efe9769e6d7ea579db0499ec819a8c7,2406.04093,Scaling and evaluating sparse autoencoders,sae,2024
e106efac9989c652457097d63339d7f53f488b23,2512.05794,Mechanistic Interpretability of Antibody Language Models Using SAEs,sae,2025.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
b58fa6c7d2465cb2c53fbcad255f87aaeb328656,2603.03415,"Farther the Shift, Sparser the Representation: Analyzing OOD Mechanisms in LLMs",mi_general,2026.0,6edd112383ad494f5f2eba72b6f4ffae122ce61f,2211.00593,Interpretability in the Wild: a Circuit for Indirect Object Identification in GP,circuits,2022
866fa6d1252aba3ae9f08bf962dd6d2a5dc42d3c,2602.11180,"Mechanistic Interpretability for Large Language Model Alignment: Progress, Chall",mi_general,2026.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
2ac231b9cff4f5f9054d86c9b540429d4dd687f4,2407.02646,A Practical Review of Mechanistic Interpretability for Transformer-Based Languag,mi_general,2024.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
5bed8937926f7381db9a5f67b9ec76dbcb34b678,2502.09022,Mechanistic Unveiling of Transformer Circuits: Self-Influence as a Key to Model ,circuits,2025.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
66a99cda71d8ad1e6a918894969a1d2a807a33ab,2605.02234,Bucketing the Good Apples: A Method for Diagnosing and Improving Causal Abstract,causal,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
436cd0fe00807bc9d14434f3313dc836530f2dae,2401.12181,Universal Neurons in GPT2 Language Models,circuits,2024.0,e5a95a679774e069e1e36d96f92bac6b93027118,1806.05759,Insights on representational similarity in neural networks with canonical correl,mi_general,2018
890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024.0,bbf218fd97d3c18801eb6eb09345bb38e7bcc871,2404.16014,Improving Dictionary Learning with Gated Sparse Autoencoders,sae,2024
5b765db5e48a94f9e902dfed1847f132d5c3101b,2505.14536,Breaking Bad Tokens: Detoxification of LLMs Using Sparse Autoencoders,sae,2025.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
9384e90ef262efc9dc2873e32966d5390a562b8a,2605.09887,The Geometric Wall: Manifold Structure Predicts Layerwise Sparse Autoencoder Sca,sae,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
8f919302a5a29f68e1abebbe6cf30de1c89c080e,2605.05341,Feature Starvation as Geometric Instability in Sparse Autoencoders,sae,2026.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
ff2b1e045d43bfddcfd12414493de0acb8575a3a,2509.17588,Interpreting Attention Heads for Image-to-Text Information Flow in Large Vision-,circuits,2025.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023.0,284e59cad4f3dd613bc81e00eb8e02eac8723530,,Benchmarking Interpretability Tools for Deep Neural Networks,mi_general,2023
5d7156ce2c39b7aa36c52bac017c64611cf9ef62,2602.14111,Sanity Checks for Sparse Autoencoders: Do SAEs Beat Random Baselines?,sae,2026.0,339fb2acab7d469c2c0b24fd7523323d658f7b7a,2508.16560,Sparse but Wrong: Incorrect L0 Leads to Incorrect Features in Sparse Autoencoder,sae,2025
6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023.0,9b9dc2b3d95d2f4e4269a9818c14c70c1f801384,2104.07143,An Interpretability Illusion for BERT,mi_general,2021
b8f280d8bf685f8da7c83068e73f000528072d6b,2403.19647,Sparse Feature Circuits: Discovering and Editing Interpretable Causal Graphs in ,circuits,2024.0,07c2c3b4af7e4ff1577f36f47f1c93398a6df648,2312.09230,"Successor Heads: Recurring, Interpretable Attention Heads In The Wild",circuits,2023
532802e16afe781a6b30823111f0e8a225578ce6,2604.16430,HalluSAE: Detecting Hallucinations in Large Language Models via Sparse Auto-Enco,sae,2026.0,890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024
c448720608902f0b692285f65eee048d6457db58,2605.29971,Causal Interventions on Continuous Variables: A Case Study on Verb Bias in Steer,mi_general,2026.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023.0,02cf0e7a782b6c0f04863f9c9ee5b4e77394deb6,2210.01892,Polysemanticity and Capacity in Neural Networks,sae,2022
436cd0fe00807bc9d14434f3313dc836530f2dae,2401.12181,Universal Neurons in GPT2 Language Models,circuits,2024.0,cb76ea63d870f9c14db66c40ffe746490ec1bdc4,,Using distance on the Riemannian manifold to compare representations in brain an,mi_general,2020
46c4ad651b203cb69aa17beb9dcc110d36674550,2606.17037,The Importance of Phase in Neural Representations: An Internal Oppenheim-Lim Tes,mi_general,2026.0,996445d847f06e99b0bd259345408a0cf1bce87e,2202.05262,Locating and Editing Factual Associations in GPT,circuits,2022
b8f280d8bf685f8da7c83068e73f000528072d6b,2403.19647,Sparse Feature Circuits: Discovering and Editing Interpretable Causal Graphs in ,circuits,2024.0,48da5f9e5e8953f3c0d5855e2cd033541fc898c1,2310.05916,Interpreting CLIP's Image Representation via Text-Based Decomposition,mi_general,2023
eb73c035fc8b0ae4a115c6a436b83c0ecfc896aa,2506.15679,"Dense SAE Latents Are Features, Not Bugs",sae,2025.0,436cd0fe00807bc9d14434f3313dc836530f2dae,2401.12181,Universal Neurons in GPT2 Language Models,circuits,2024
7fa1535f590877ec2e3352ee0d0ea10aa2e4e84f,2605.28247,IRDS: Interpretable RLVR Data Selection via Verifier-Coupled Sparse Autoencoder ,sae,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
a00483c99f37485ff074c59bf08320dc5e565587,2605.03160,Pairwise matrices for sparse autoencoders: single-feature inspection mislabels c,sae,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023.0,12910786da7a34c9ee26798fd81b0ed7b0e38789,2305.01610,Finding Neurons in a Haystack: Case Studies with Sparse Probing,mi_general,2023
66a99cda71d8ad1e6a918894969a1d2a807a33ab,2605.02234,Bucketing the Good Apples: A Method for Diagnosing and Improving Causal Abstract,causal,2026.0,6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023
c7a41c36e056cdbce7de38baf78ce113974fb386,2602.22581,IBCircuit: Towards Holistic Circuit Discovery with Information Bottleneck,circuits,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
b8f280d8bf685f8da7c83068e73f000528072d6b,2403.19647,Sparse Feature Circuits: Discovering and Editing Interpretable Causal Graphs in ,circuits,2024.0,6edd112383ad494f5f2eba72b6f4ffae122ce61f,2211.00593,Interpretability in the Wild: a Circuit for Indirect Object Identification in GP,circuits,2022
2e345a4fba9c4a3421d4707b7bc8aed385e1b8bd,2606.16939,Scalable Circuit Learning for Interpreting Large Language Models,circuits,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
996445d847f06e99b0bd259345408a0cf1bce87e,2202.05262,Locating and Editing Factual Associations in GPT,circuits,2022.0,f2885c6a25756cf81aa23b41bc62696a5be5c94d,2104.05240,Factual Probing Is [MASK]: Learning vs. Learning to Recall,mi_general,2021
255a65f4ed4732b2a3734d7315e4a7895eccab9a,2509.22553,"Linear Causal Representation Learning by Topological Ordering, Pruning, and Dise",causal,2025.0,6247d7bb9093b4f6c222c6c224b3df4335d4b8bd,2301.04709,Causal Abstraction: A Theoretical Foundation for Mechanistic Interpretability,causal,2023
e2054b79d174d5874f5e62004468ee068dd9d258,2505.21364,Towards Interpretability Without Sacrifice: Faithful Dense Layer Decomposition w,mi_general,2025.0,3f7fa58806614a1f38ae760c25c1305e3a87d4ce,2305.08809,Interpretability at Scale: Identifying Causal Mechanisms in Alpaca,causal,2023
436cd0fe00807bc9d14434f3313dc836530f2dae,2401.12181,Universal Neurons in GPT2 Language Models,circuits,2024.0,b2a693fa90ae2f501e698a6610d7c3ef8e76f0b5,2205.14258,On the Symmetries of Deep Learning Models and their Internal Representations,mi_general,2022
1540b8c60b1e5328a11f9e71e3c3f41ff149c327,2604.07019,ConceptTracer: Interactive Analysis of Concept Saliency and Selectivity in Neura,mi_general,2026.0,890efc891e9b59e8cb5e8c244428f6b81ec0a4da,2408.05147,Gemma Scope: Open Sparse Autoencoders Everywhere All At Once on Gemma 2,sae,2024
43aef71fdf8bb51bfd777d677b87c5c45aba81b8,2606.00033,Make Mechanistic Interpretability Auditable: A Call to Develop Guidelines via Co,mi_general,2026.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
d243346b2ec225d7afda9c2b9da524d47c90d395,2603.01752,Causal Circuit Tracing Reveals Distinct Computational Architectures in Single-Ce,circuits,2026.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
5d7156ce2c39b7aa36c52bac017c64611cf9ef62,2602.14111,Sanity Checks for Sparse Autoencoders: Do SAEs Beat Random Baselines?,sae,2026.0,f67b4718b8425aff8c4156757ec0d9c9958ab7d0,2503.17547,Learning Multi-Level Features with Matryoshka Sparse Autoencoders,sae,2025
436cd0fe00807bc9d14434f3313dc836530f2dae,2401.12181,Universal Neurons in GPT2 Language Models,circuits,2024.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
afd4c65984ca3afd54f2e503820c4bbbec3bb724,2605.13156,Dual-Pathway Circuits of Object Hallucination in Vision-Language Models,circuits,2026.0,996445d847f06e99b0bd259345408a0cf1bce87e,2202.05262,Locating and Editing Factual Associations in GPT,circuits,2022
3ce8980307b47c7a9592ff8376a2c78cd58d5953,2606.15054,Size Doesn't Matter: Cosine-Scored Sparse Autoencoders,sae,2026.0,8cbc7c757766697a56e7cf881605b8e414ab2fdc,2409.14507,A is for Absorption: Studying Feature Splitting and Absorption in Sparse Autoenc,sae,2024
c7a41c36e056cdbce7de38baf78ce113974fb386,2602.22581,IBCircuit: Towards Holistic Circuit Discovery with Information Bottleneck,circuits,2026.0,5951ede73a1dbb9c5ea8b4d95f31c5ed646aacbd,2106.02997,Causal Abstractions of Neural Networks,causal,2021
8cccd6cf1eb1ad18fc888b227b47a98350edfa5c,2606.07473,Whisper Hallucination Detection and Mitigation via Hidden Representation Steerin,sae,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
4bce00187e57fd4caa06e4cd51c3535370c461e5,2605.29901,Dissecting the Black Box: Circuit-Level Analysis of LLM Vulnerability Detection,circuits,2026.0,c90a99eeb57019732a6cc996bb9eaf13faedf00f,2209.11895,In-context Learning and Induction Heads,circuits,2022
5d7156ce2c39b7aa36c52bac017c64611cf9ef62,2602.14111,Sanity Checks for Sparse Autoencoders: Do SAEs Beat Random Baselines?,sae,2026.0,16ed211c2e2205c28aa18d08cb7accdaf582134a,2502.16681,Are Sparse Autoencoders Useful? A Case Study in Sparse Probing,sae,2025
b8f280d8bf685f8da7c83068e73f000528072d6b,2403.19647,Sparse Feature Circuits: Discovering and Editing Interpretable Causal Graphs in ,circuits,2024.0,1a80429448d7379ca1157a33a36bd5130257e3e9,2407.14435,Jumping Ahead: Improving Reconstruction Fidelity with JumpReLU Sparse Autoencode,sae,2024
b4d81c89c973b6d207dbc0562760200b7d7974ed,2507.08802,The Non-Linear Representation Dilemma: Is Causal Abstraction Enough for Mechanis,causal,2025.0,3a326123523f715f6eb74d12e38ccf7a4180dc46,2204.08831,Probing for the Usage of Grammatical Number,mi_general,2022
8d210472b520a7845602614ff6457e8a553d99e8,2605.20824,Markovian Circuit Tracing for Transformer State Dynamic,circuits,2026.0,edb548fe7574d99454b352ffdb61bca93c3072ba,2309.08600,Sparse Autoencoders Find Highly Interpretable Features in Language Models,sae,2023
112420d9b61b069ded0ac21759a08e80caa0280b,2603.27518,Over-Refusal and Representation Subspaces: A Mechanistic Analysis of Task-Condit,mi_general,2026.0,eefbd8b384a58f464827b19e30a6920ba976def9,2304.14997,Towards Automated Circuit Discovery for Mechanistic Interpretability,circuits,2023
